lat,lon,description,address,url,town,county,name,batteries,metal,cardboard,paper,glass,plastic,fluorescent_bulbs,green_waste,cooking_oil,e_waste,automotive_fluids,tires,vehicles,waste_water,compost,cloth
45.693806,-111.063917,,"2047 West Oak St # 103, Bozeman MT 59718","http://www.interstatebatteries.com/DealerLocator/AbcDealerDetails.aspx?dealerId=305&storeId=9237&name=Bozeman,%20MTclable-batteries",Bozeman,Gallatin,Interstate All Batteries,yes,,,,,,,,,,,,,,,
45.681645,-111.035788,,"210 N Black Ave, Bozeman, MT 59715",http://www.jkrecyclers.com/,Bozeman,Gallatin,J and K Recyclers,,yes,yes,yes,yes,yes,,,,,,,,,,
46.272865,-112.250254,,"1 Cataract Rd, Basin MT",http://www.jeffersoncounty-mt.gov/solid_waste.html,Basin,Jefferson,Jefferson County Solid Waste,yes,yes,yes,yes,,,,yes,,,yes,,,,,
46.217048,-112.12122,,"70 Little Boulder Rd, Boulder MT",http://www.jeffersoncounty-mt.gov/solid_waste.html,Boulder,Jefferson,Jefferson County Solid Waste,yes,yes,yes,yes,,,,yes,,,yes,,,,,
46.388761,-112.027687,,"21 Spring St, Jefferson City MT",http://www.jeffersoncounty-mt.gov/solid_waste.html,Jefferson City,Jefferson,Jefferson County Solid Waste,yes,yes,yes,yes,,,,,,,yes,,,,,
46.532337,-111.934936,,"50 McClellan Creek Rd, Montana City MT",http://www.jeffersoncounty-mt.gov/solid_waste.html,Montana City,Jefferson,Jefferson County Solid Waste,yes,yes,yes,yes,,,,,,,yes,,,,,
45.888909,-112.076871,,"60 Paul Gulch Rd, Whitehall MT",http://www.jeffersoncounty-mt.gov/solid_waste.html,Whitehall,Jefferson,Jefferson County Solid Waste,yes,yes,yes,yes,,,,yes,,,yes,,,,,
47.153343,-110.217358,,"82 Central Ave, Stanford MT 59479",http://www.russellcountry.com/ks-supermarket.html,Stanford,Judith Basin,K's Supermarket,,yes,yes,yes,,,,,,,,,,,,
47.645566,-114.115778,,"36117 North Reservoir Rd, Polson MT",http://www.lakemt.gov/envhealth/solid-waste.html,Polson,Lake,Lake County Transfer Station,yes,yes,yes,yes,,yes,,yes,Cooking Oil,yes,yes,,,,,
46.977651,-112.549691,,"6605 Hwy 200 East, Lincoln MT",http://www.lccountymt.gov/public-works/solid-waste/lincoln-solid-waste-district.html,Lincoln,Lewis & Clark,Lincoln Solid Waste District,yes,yes,yes,yes,yes,yes,,yes,,,,,,,,
45.679328,-110.542379,,"408 Bennett, Livingston MT",http://www.livingstonmontana.org/living/recycling.html,Livingston,Park,Livingston Transfer Station & Recycling,,yes,yes,yes,yes,yes,,,,,,,,,,
45.698182,-111.059948,,"1731 Tschache Ln, Bozeman MT 59718",https://www.lowes.com/store/MT-Bozeman/2608,Bozeman,Gallatin,Lowes,yes,,,,,,CFLs Only,,,,,,,,,
46.619463,-112.013943,,"3291 North Sanders St, Helena MT",https://www.lowes.com/cd_Helping+the+Environment+With+Recycling+Centers_368967519_,Helena,Lewis & Clark,Lowes,yes,,,,,,CFLs Only,,,,,,,,,
48.236123,-114.333879,,"2360 Highway 93 North, Kalispell MT",https://www.lowes.com/cd_Helping+the+Environment+With+Recycling+Centers_368967519_,Kalispell,Flathead,Lowes,yes,,,,,,CFLs Only,,,,,,,,,
46.892983,-114.036787,,"3100 North Reserve St, Missoula MT",https://www.lowes.com/cd_Helping+the+Environment+With+Recycling+Centers_368967519_,Missoula,Missoula,Lowes,yes,,,,,,CFLs Only,,,,,,,,,
48.354269,-107.883317,,"506 S 6th St W, Malta MT 59538",,Malta,Phillips,Malta Opportunities,,yes,,,,,,,,,,,,,,
47.514793,-111.271431,,"2100 9th Avenue N, Great Falls MT",http://www.unitedmaterialsgtf.com/,Great Falls,Cascade,Montana Sand & Gravel,,,,,,,,yes,,,,,,,,
47.526818,-111.281725,Curbside Collection,"3201 15 St NE, Black Eagle MT 59414",http://www.montanawastesystems.com/,Great Falls,Cascade,Montana Waste Systems,,yes,yes,yes,,,,,,,,,,,,
48.330566,-114.237743,,"4969 Highway 2 West, Columbia Falls MT",http://www.newworldrecyclingmt.com/index.html,Columbia Falls,Flathead,New World Recycling,,yes,yes,yes,yes,,,,,,,,,,,
48.470016,-114.502326,,"5445 Hwy 93 S, Whitefish MT",http://www.whitefishchamber.org/list/member/north-valley-refuse-mt-waste-sys-whitefish-245,Whitefish,Flathead,North Valley Refuse & Recycling,,yes,yes,yes,,yes,,,,,,,,,,
46.842413,-114.036816,,"2407 Harve Ave., Missoula MT",http://www.peteselec.com/,Missoula ,Missoula,"P.E.T.E.S., Inc.",,,,,,,Tubes Only,,,yes,,,,,,
45.838189,-108.39662,,"3385 COULSON ROAD, Billings MT",http://www.pacific-steel.com/locations,Billings,Yellowstone,Pacific Steel and Recycling,yes,yes,yes,yes,,,,,,,yes,,,,,
47.689126,-104.158871,,"35023 COUNTY ROAD 123, Sidney MT",http://www.pacific-steel.com/locations,Sidney,Richland,Pacific Steel and Recycling,yes,yes,yes,yes,,,,,,,yes,,,,,
47.517463,-111.278206,,"1624 12TH AVENUE NORTH, Great Falls MT",http://www.pacific-steel.com/locations,Great Falls,Cascade,Pacific Steel and Recycling,yes,yes,yes,yes,,,,,,yes,,,,,,
48.555208,-109.656809,,"1805 U.S. 2, Havre MT",http://www.pacific-steel.com/locations,Havre,Hill,Pacific Steel and Recycling,yes,yes,yes,yes,,,,,,yes,,,yes,,,
46.600312,-112.023757,,"1530 NATIONAL AVENUE, Helena MT",http://www.pacific-steel.com/locations,Helena,Lewis & Clark,Pacific Steel and Recycling,yes,yes,yes,yes,,,,,,yes,,,,,,
48.209175,-114.295184,,"105 MONTCLAIR, Kalispell MT",http://www.pacific-steel.com/locations,Kalispell,Flathead,Pacific Steel and Recycling,yes,yes,yes,yes,,,,,,yes,,,,,,
45.700648,-111.041476,,"803 Phillips St, Miles City, MT 59301",http://www.pacific-steel.com/locations,Miles City,Custer,Pacific Steel and Recycling,yes,yes,yes,yes,,,,,,yes,,,,,,
46.888284,-114.032241,,"2600 LATIMER, Missoula MT",http://www.pacific-steel.com/locations,Missoula,Missoula,Pacific Steel and Recycling,yes,yes,yes,yes,,,,,,yes,,,,,,
45.700648,-111.041476,,"315 W. GRIFFIN DRIVE, Bozeman MT",http://www.pacific-steel.com/locations,Bozeman,Gallatin,Pacific Steel and Recycling ,yes,yes,yes,yes,,,,,,yes,,,,,,
46.006672,-112.52009,,"905 GAYLORD STREET, Butte MT",http://www.pacific-steel.com/locations,Butte,Silver Bow,Pacific Steel and Recycling ,yes,yes,yes,yes,,,,,,yes,,,,,,
45.709341,-111.067489,,"2855 N 19th St Ste G, Bozeman MT 59718",http://www.hours-locations.com/radioshack/mt/bozeman/,Bozeman,Gallatin,Radio Shack,yes,,,,,,,,,,,,,,,
48.254724,-114.424104,,"210 Rhodes Draw, Kalispell MT",http://www.usa.com/frs/rasmussen-tire-site.html,Kalispell,Flathead,Rasmussen Tire Site,,,,,,,,,,,,yes,,,,
46.300734,-114.159736,,"759 US Hwy 93 N, Hamilton MT 59840",http://www.ravallirecycling.org/,Hamilton,Ravalli,Ravalli County Recycling,yes,yes,yes,yes,,,,,,yes,,,,,,
48.555208,-109.656809,,"1805 U.S. 2, Havre MT",https://recyclehiline.org/,Havre,Hill,Recycle Hi-Line,,,,,yes,yes,yes,,,,,,,,,
47.066225,-109.431293,,"502 W. Montana, Lewistown MT",https://www.facebook.com/pg/ROWL-Recycle-Our-Waste-Lewistown-182799388568170/about/?ref=page_internal,Lewistown,Fergus,Recycle Our Waste Lewistown,,,,,,yes,,,,,,,,,,
48.087334,-115.995542,,"249 Mt. Hwy 200, Heron MT",http://co.sanders.mt.us/departments/solid-waste-refuse-district/,Heron,Sanders,Sanders County  ,yes,yes,yes,yes,,yes,,,,,yes,,,,,
